No,Kecamatan ,Desa ,Latitude,Longitude,elevasi_m,slope_deg,label_asli
1.0,Dayeluhur ,Desa Panulisan Barat ,-7.302995,108.573576,66.0,8.544356166386308,1
,Dayeluhur ,Desa Dayeluhur,-7.173785,108.392153,392.0,18.0,0
,Dayeluhur ,Desa Bingkeng,-7.236414,108.592881,242.0,18.0,0
2.0,Wanareja,Desa Cilongkrang,-7.408769,108.715668,23.0,3.698121877875851,2
,Wanareja,Desa Purwasari,-7.384291,108.870808,49.0,6.198426096619411,1
,Wanareja,Desa Tarisi,-7.392666,108.694566,19.0,2.5983923284706836,2
,Wanareja,Desa Adimulya,-7.334996,108.689403,33.0,4.141317057035479,1
,Wanareja,Desa Madura,-7.331412,108.644776,28.0,4.672646604084909,2
,Wanareja,Desa Wanareja,-7.333816,108.687107,36.0,5.261561016440493,1
,Wanareja,Desa Sidamulya,-7.488885,108.804955,8.0,2.0513016089144633,2
,Wanareja,Desa Bantar,-7.352453,108.721116,21.0,2.6488182920141234,2
3.0,Majenang,Desa Pahonjean ,-7.324304,108.740084,24.0,4.337873793026792,2
,Majenang,Desa Cilopadang,-7.303708,108.790659,32.0,5.10541969712059,1
,Majenang,Desa Sindangsari,-7.300775,108.767969,29.0,3.8772747549495867,2
,Majenang,Desa Mulyadadi,-7.317188,108.775789,17.0,2.3945549540899407,2
,Majenang,Desa Bener,-7.269907,108.759242,138.0,16.916766313794806,0
,Majenang,Desa Boja,-7.211251,108.945039,81.0,10.245939140143351,1
,Majenang,Desa Padangjaya,-7.312664,108.785827,28.0,4.194659004285133,2
,Majenang,Desa Mulyasari,-7.314002,108.773874,19.0,2.984723026098962,2
4.0,Cimanggu ,Desa Panimbang,-7.366119,108.868323,99.0,12.387720796277257,1
,Cimanggu ,Desa Bantarmangu,-7.332414,108.894194,259.0,18.0,0
,Cimanggu ,Desa Cimanggu,-7.350939,108.839493,47.0,5.935291404912858,1
,Cimanggu ,Desa Bantarpanjang,-7.360889,108.856803,64.0,8.189002507949304,1
,Cimanggu ,Desa Cilempuyang,-7.342686,108.834565,47.0,6.252906580611168,1
,Cimanggu ,Desa Cibalung,-7.320885,108.879411,107.0,13.57849797790385,1
,Cimanggu ,Desa Karangreja,-7.353303,108.797002,30.0,4.799246345950219,2
,Cimanggu ,Desa Rejodadi,-7.325671,108.798297,34.0,4.459543295021704,1
,Cimanggu ,Desa Mandala,-7.357041,108.888654,81.0,10.539928213779055,1
5.0,Karangpucung,Desa Pengaweran,-7.382458,108.877978,64.0,8.60938039640686,1
,Karangpucung,Desa Karangpucung,-7.41075,108.906193,56.0,6.8850305778079965,1
6.0,Patimuan,Desa Patimuan ,-7.584914,108.76131,15.0,2.7505627926620133,2
,Patimuan,Desa Sidamukti,-7.609299,108.754052,3.0,0.6987337731622081,3
,Patimuan,Desa Purwodadi,-7.600747,108.762061,7.0,1.0310722301793913,3
,Patimuan,Desa Bulupayung,-7.57995,108.785915,7.0,2.2684397521546664,2
,Patimuan,Desa Cimrutu,-7.619538,108.802522,5.0,2.0518848463043833,2
7.0,Kedungreja,Desa Tambakreja,-7.538916,108.782982,15.0,3.0317562873630455,2
,Kedungreja,Desa Bumireja,-7.536534,108.806366,1.0,0.646459276842719,3
,Kedungreja,Desa Ciklapa,-7.506692,108.810952,4.0,0.7167409596089374,3
,Kedungreja,Desa Tambaksari,-7.4401,108.881896,40.0,5.857926237117019,1
,Kedungreja,Desa Kaliwungu,-7.548292,108.80998,4.0,1.1962134912354419,3
,Kedungreja,Desa Jatisari,-7.514545,108.786467,10.0,1.4708535287826903,3
8.0,Cipari,Desa Caruy,-7.373138,108.812791,25.0,3.7932476741557783,2
,Cipari,Desa Cisuru,-7.38692,108.701254,58.0,7.108143929561305,1
,Cipari,Desa Serang,-7.446416,108.788571,23.0,4.133048562910295,2
,Cipari,Desa Mulyadadi,-7.426113,108.790305,192.0,18.0,0
,Cipari,Desa Mekarsari,-7.400061,108.745623,35.0,5.2275311980955745,1
,Cipari,Desa Kutasari,-7.392746,108.817824,26.0,3.6563955065251754,2
,Cipari,Desa Sidasari,-7.384348,108.78069,30.0,4.428095229648934,2
9.0,Sidareja,Desa Tinggarjaya,-7.480452,108.766832,12.0,2.3053943910805916,2
,Sidareja,Desa Sidareja,-7.480474,108.795257,8.0,1.3187962377357378,3
,Sidareja,Desa Sidamulya,-7.48897,108.804965,8.0,2.417418478870382,2
,Sidareja,Desa Tegalsari,-7.485648,108.774499,16.0,3.1051859527055603,2
,Sidareja,Desa Margasari,-7.469319,108.774928,11.0,2.7352985181898646,2
,Sidareja,Desa Gunungreja,-7.479295,108.786157,6.0,2.072758290598708,2
,Sidareja,Desa Sudagaran,-7.491794,108.808189,6.0,1.657059970335519,3
10.0,Gandrungmangu,Desa Gandrungmangu,-7.519169,108.863969,12.0,2.8306239290323636,2
,Gandrungmangu,Desa Gandrungmanis,-7.524044,108.85814,16.0,2.143889502872687,2
,Gandrungmangu,Desa Cisumur,-7.528578,108.826473,16.0,2.294376007386803,2
11.0,Bantarsari,Desa Binagun ,-7.543184,108.92231,18.0,2.3233182044747536,2
,Bantarsari,Desa Bantarsari,-7.538556,108.876306,15.0,2.35546246306857,2
,Bantarsari,Desa Rawajaya,-7.557334,108.892896,8.0,1.6041482055652747,3
,Bantarsari,Desa Bulaksari,-7.523689,108.888506,18.0,2.639888644483454,2
12.0,Kawunganten ,Desa Grugu,-7.645244,108.912399,5.0,1.860232512812701,3
,Kawunganten ,Desa Bringkeng,-7.635518,108.917016,3.0,0.959454657371025,3
,Kawunganten ,Desa Ujungmanik,-7.64409,108.951428,5.0,1.093308313562333,3
,Kawunganten ,Desa Bojong,-7.608174,108.926794,5.0,1.4597745164215477,3
,Kawunganten ,Desa Mentasan,-7.58261,108.958872,44.0,5.577293914964667,1
,Kawunganten ,Desa Kalijeruk,-7.579115,108.936851,18.0,3.3830757730556558,2
,Kawunganten ,Desa Kawunganten ,-7.591934,108.92207,9.0,1.2843709011516793,3
,Kawunganten ,Desa Kawunganten Lor,-7.584107,108.922413,6.0,2.2016417112407245,2
,Kawunganten ,Desa Babakan,-7.66247,108.933569,9.0,2.2611426770153207,2
13.0,Kampung Laut,Desa Panikel,-7.631573,108.856721,2.0,0.6182019541478413,3
,Kampung Laut,Desa Ujunggagak,-7.665938,108.818228,5.0,0.7077309639730434,3
,Kampung Laut,Desa Klaces,-7.681075,108.848305,2.0,1.481645999836768,3
,Kampung Laut,Desa Ujungalang,-7.700257,108.887835,4.0,1.5696002813866639,3
14.0,Jeruklegi,Desa Cilibang,-7.578392,109.019556,42.0,6.160610035257382,1
,Jeruklegi,Desa Brebeg,-7.626715,109.001461,25.0,4.179778485360324,2
15.0,Kesugihan ,Desa Karangkandri,-7.669839,109.0852,6.0,0.9236625124277265,3
,Kesugihan ,Desa Slarang,-7.659267,109.113899,9.0,1.6818520199619815,3
,Kesugihan ,Desa Kesugihan,-7.608235,109.119931,7.0,1.1022166833351816,3
,Kesugihan ,Desa Kalisabuk ,-7.658024,109.099508,14.0,2.9883447962258307,2
,Kesugihan ,Desa Dondong,-7.618474,109.067465,21.0,3.492617377558581,2
,Kesugihan ,Desa Ciwuni,-7.604209,109.083059,20.0,2.9632572347937085,2
,Kesugihan ,Desa Karangjengkol,-7.602037,109.091578,17.0,2.228981690400433,2
,Kesugihan ,Desa Keleng,-7.59519,109.111505,18.0,2.695375250401927,2
,Kesugihan ,Desa Pesanggrahan,-7.594099,109.115168,17.0,2.5952566508374457,2
,Kesugihan ,Desa Bulupayung,-7.596621,109.140066,11.0,2.4414486496732897,2
,Kesugihan ,Desa Kuripan Kidul,-7.65873,109.081864,14.0,2.672580459897298,2
,Kesugihan ,Desa Jengrana,-7.639427,109.063432,23.0,4.1020978396068575,2
,Kesugihan ,Desa Kesugihan Kidul,-7.62259,109.121113,13.0,2.321100895226729,2
16.0,Maos,Desa Karangrena,-7.606723,109.133039,11.0,1.5874319443136222,2
,Maos,Desa Panisihan,-7.585351,109.158374,14.0,2.778542702112193,2
,Maos,Desa Karangreja,-7.624115,109.147071,5.0,1.7650990680636562,3
17.0,Sampang,Desa Karangtengah,-7.553736,109.218149,23.0,3.6457880765972943,2
,Sampang,Desa Sampang,-7.566318,109.201228,17.0,3.2193540519363855,2
,Sampang,Desa Nusajati,-7.596982,109.200002,11.0,2.111313834910147,2
,Sampang,Desa Karangjati,-7.57744,109.241826,10.0,2.0318259611347917,2
,Sampang,Desa Paberasan,-7.588874,109.231656,12.0,2.1385574257019693,2
,Sampang,Desa Karangasem,-7.472167,109.475513,4.6795157228674,0.6971286641858212,3
18.0,Kroya,Desa Sikampuh ,-7.623398,109.197936,9.0,1.3310479977906264,3
,Kroya,Desa Gentasari,-7.601644,109.219899,10.0,1.344000859961428,3
,Kroya,Desa Kedawung,-7.617419,109.287715,9.0,2.0709745757692923,2
,Kroya,Desa Mujur,-7.612107,109.253601,8.0,1.5000983735068574,3
,Kroya,Desa Buntu,-7.589645,109.252029,8.0,1.7719989676305836,3
,Kroya,Desa Mujur Lor,-7.599874,109.248844,9.0,2.4505930634965303,2
19.0,Nusawungu,Desa Banjareja,-7.686408,109.374383,11.608738524671043,1.84205774376895,2
,Nusawungu,Desa Kedungbenda,-7.66758,109.375326,4.143839587046705,1.1717968426954861,3
,Nusawungu,Desa Klumprit,-7.661907,109.35874,9.273292915101415,2.270566743772438,2
,Nusawungu,Desa Purwodadi,-7.676727,109.348618,6.0,1.1403174316882714,3
,Nusawungu,Desa Karangsembung,-7.679916,109.363203,12.302098809471751,1.6840237308969204,2
,Nusawungu,Desa Nusawengkal,-7.669805,109.34463,11.0,1.825652034079275,2
,Nusawungu,Desa Nusawungu,-7.648797,109.345277,10.0,1.5257098021556061,3
20.0,Adipala,Desa Karangbenda,-7.672613,109.176723,5.0,2.001576713279602,2
,Adipala,Desa Wlahar,-7.667687,109.13421,9.0,2.3113685313901837,2
,Adipala,Desa Penggalang,-7.653371,109.138309,9.0,2.066765259114593,2
,Adipala,Desa Adipala,-7.659838,109.156697,14.0,3.0000448262628048,2
,Adipala,Desa Adireja Kulon,-7.660938,109.16014,13.0,2.7851409076587603,2
,Adipala,Desa Adireja Wetan,-7.660906,109.165317,12.0,1.80119808244045,2
,Adipala,Desa Adiraja,-7.661459,109.164716,12.0,2.7895825978859685,2
,Adipala,Desa Karang Sari,-7.637371,109.143197,16.0,2.775079138681911,2
21.0,Cilacap Tengah,Kelurahan Kutawaru,-7.697561,108.990425,0.0,1.2304162172296875,3
,Cilacap Tengah,Kelurahan Donan,-7.714149,109.001532,7.0,2.1945278198928904,2
,Cilacap Tengah,Kelurahan Sidanegara,-7.711614,109.019484,10.0,1.7452048649606093,3
,Cilacap Tengah,Kelurahan Gunungsimping,-7.707111,109.027039,8.0,1.2140726943387474,3
22.0,Cilacap Selatan,Kelurahan Cilacap,-7.738098,109.014295,6.0,1.1391092275587185,3
,Cilacap Selatan,Kelurahan Tambakreja,-7.728396,109.004494,7.0,1.5379509040767587,3
,Cilacap Selatan,Kelurahan Tegalkamulyan,-7.721294,109.023384,6.0,1.9652206722914904,3
